iter	Passed	Remaining
0	11	4605
1	24	4834
2	38	5030
3	51	5091
4	65	5174
5	79	5246
6	93	5232
7	105	5184
8	118	5143
9	131	5113
10	144	5114
11	157	5101
12	171	5096
13	184	5073
14	197	5071
15	210	5060
16	224	5048
17	238	5055
18	252	5067
19	267	5083
20	281	5085
21	296	5100
22	311	5098
23	324	5086
24	337	5069
25	351	5056
26	364	5037
27	379	5041
28	395	5053
29	410	5056
30	424	5052
31	438	5048
32	453	5043
33	466	5022
34	492	5138
35	505	5110
36	518	5084
37	532	5068
38	546	5059
39	561	5049
40	574	5030
41	587	5008
42	602	5001
43	616	4990
44	631	4982
45	646	4973
46	660	4957
47	673	4941
48	687	4928
49	703	4921
50	716	4905
51	729	4884
52	743	4870
53	758	4862
54	772	4844
55	786	4830
56	800	4818
57	814	4802
58	827	4785
59	840	4765
60	854	4747
61	867	4726
62	879	4707
63	893	4692
64	907	4677
65	920	4660
66	934	4645
67	948	4629
68	961	4612
69	975	4598
70	989	4585
71	1004	4576
72	1018	4564
73	1033	4551
74	1047	4538
75	1060	4520
76	1074	4508
77	1089	4496
78	1102	4481
79	1117	4471
80	1132	4458
81	1149	4457
82	1161	4436
83	1173	4416
84	1188	4405
85	1202	4389
86	1215	4372
87	1228	4356
88	1242	4340
89	1256	4326
90	1270	4312
91	1284	4299
92	1298	4285
93	1311	4268
94	1323	4250
95	1337	4234
96	1350	4218
97	1363	4202
98	1376	4185
99	1389	4167
100	1402	4152
101	1415	4136
102	1429	4122
103	1443	4107
104	1456	4091
105	1469	4074
106	1482	4060
107	1496	4045
108	1510	4031
109	1523	4016
110	1536	4001
111	1550	3986
112	1563	3971
113	1576	3955
114	1589	3940
115	1604	3928
116	1618	3914
117	1631	3900
118	1645	3885
119	1658	3869
120	1671	3853
121	1684	3839
122	1698	3825
123	1711	3809
124	1725	3795
125	1738	3781
126	1751	3765
127	1764	3749
128	1778	3735
129	1792	3721
130	1805	3707
131	1818	3692
132	1832	3677
133	1844	3662
134	1857	3646
135	1870	3630
136	1883	3615
137	1897	3601
138	1910	3587
139	1924	3573
140	1937	3559
141	1950	3543
142	1964	3529
143	1977	3514
